sex2,edu1,edu2,sibsex,occj,medu1,safa,urban,jieduan,match1
2,1,1,0,1,1,-5.624248,0,0,1
1,1,1,2,1,1,-0.1331297,0,0,1
2,1,1,2,1,1,-3.828418,0,0,1
1,1,1,2,1,1,1.700812,0,0,1
1,1,1,0,,1,-2.131546,0,0,1
1,1,1,1,1,1,-0.6559699,0,0,1
2,1,1,2,2,1,4.423159,0,0,1
1,1,1,1,2,1,-3.487797,1,0,1
2,1,1,1,1,1,-0.1974657,0,0,1
1,1,1,1,,1,-1.858459,0,0,1
2,1,1,1,1,1,-2.042403,0,0,1
1,2,1,1,2,3,-7.441192,0,2,0
2,3,1,1,2,3,-13.36794,0,2,1
1,2,1,1,2,2,-2.591641,0,2,1
1,2,1,0,2,2,-6.920376,0,0,1
1,1,1,1,2,1,-2.226828,0,2,1
2,2,1,1,1,1,-3.889543,0,0,0
1,1,1,2,2,1,1.004219,0,0,1
1,1,1,2,,1,-5.505264,0,0,1
2,2,1,1,1,1,-5.736266,0,0,0
2,1,1,1,2,1,-1.62764,0,0,1
1,1,1,2,1,1,-0.843616,0,0,1
1,1,1,2,1,1,1.551388,0,0,1
2,1,1,1,1,1,0.2259886,0,2,1
2,1,1,2,1,1,0.6932907,0,0,1
1,1,1,0,1,1,-0.2582569,0,1,1
2,1,1,1,1,1,3.704051,0,2,1
2,1,1,1,1,1,-3.456722,0,0,1
1,2,1,1,2,1,-1.100645,0,2,0
2,1,1,1,1,1,-3.887605,0,0,1
2,2,1,0,,1,-4.437578,1,0,0
2,1,1,1,1,1,-0.6352773,0,0,1
1,1,1,0,1,1,-2.582302,0,0,1
2,2,1,2,1,1,-6.60375,0,2,0
1,1,1,1,1,1,-6.9834,0,0,1
1,1,1,0,1,1,-2.128163,0,0,1
1,1,1,1,,1,0.382205,0,0,1
1,1,1,1,1,1,-2.376091,0,0,1
1,1,1,1,,1,-1.578877,0,0,1
2,1,1,1,3,1,-3.503175,1,0,1
1,2,1,1,1,1,-1.463338,0,0,0
1,1,1,0,2,3,-7.911363,1,2,0
1,1,1,0,,1,-8.438963,0,0,1
2,1,1,1,,1,-8.190482,0,0,1
1,1,1,1,1,1,0.1267185,0,0,1
2,1,1,1,1,1,-1.87633,0,0,1
2,2,1,2,1,1,-9.340105,0,0,0
1,1,1,1,2,1,-1.328083,1,0,1
1,1,1,2,1,1,-0.416109,0,0,1
1,1,1,1,2,1,1.110523,0,0,1
1,1,1,1,2,1,-6.770992,1,0,1
2,1,1,2,2,1,1.275599,0,0,1
1,1,1,1,1,1,-0.7433627,0,0,1
2,1,1,1,,1,-1.159358,0,0,1
2,1,1,1,1,1,-0.3234386,0,2,1
2,1,1,1,2,1,-0.7290806,0,0,1
2,2,1,2,1,1,-7.865324,0,0,0
2,1,1,1,1,1,-3.267784,0,2,1
2,1,1,1,1,1,1.885269,0,0,1
1,1,1,2,1,1,0.1721494,0,0,1
1,1,1,1,1,1,1.092251,0,0,1
1,1,1,1,1,1,-2.270563,0,2,1
1,1,1,2,2,2,-4.210675,0,2,0
1,1,1,1,1,1,0.2620277,0,0,1
2,2,1,2,2,1,-9.486811,1,0,0
1,1,1,2,,1,0.0869348,1,0,1
1,1,1,2,1,1,-9.579574,0,2,1
1,1,1,1,1,1,-2.129325,0,0,1
2,1,1,0,1,1,-2.863701,0,0,1
2,1,1,0,1,1,0.9398469,0,0,1
2,1,1,2,1,1,-0.7187943,0,0,1
1,1,1,2,1,1,-1.127428,0,2,1
2,1,1,2,1,1,0.903005,0,0,1
1,1,1,1,,1,-5.174892,0,0,1
2,1,1,1,1,1,-4.188262,0,0,1
2,1,1,2,1,1,-6.220841,1,0,1
2,1,1,1,1,1,-2.010652,0,0,1
1,1,1,1,2,1,-5.6233,0,0,1
2,2,1,1,1,1,-3.117354,0,2,0
1,1,1,1,1,1,-0.7583106,0,2,1
1,1,1,1,1,1,-3.709095,0,0,1
1,1,1,2,2,1,-6.464618,0,0,1
1,1,1,2,1,1,3.156581,0,0,1
2,2,1,1,1,1,-2.212394,0,0,0
2,3,1,0,,1,-4.089142,0,0,0
2,1,1,2,2,2,-4.412845,1,0,0
2,1,1,0,1,1,-0.506155,0,0,1
1,1,1,1,1,1,2.741343,0,0,1
2,1,1,1,1,1,-4.140024,0,0,1
2,1,1,1,1,1,-4.491349,0,0,1
1,1,1,2,2,1,-0.0859511,1,2,1
2,1,1,1,2,1,1.504176,1,0,1
1,2,1,2,1,2,-2.860116,0,2,1
2,1,1,1,1,1,-2.035262,0,0,1
2,1,1,1,1,1,-3.531813,0,0,1
2,1,1,2,1,1,-1.541728,0,0,1
1,1,1,1,1,1,-4.275515,0,2,1
1,1,1,0,1,1,-0.9343762,0,0,1
1,1,1,2,1,1,-2.167524,0,0,1
2,1,1,1,1,1,-0.9346967,0,0,1
2,2,1,1,1,2,-4.317395,0,2,1
2,1,1,1,2,1,-0.7936187,1,2,1
1,2,1,1,1,2,-6.245066,0,0,1
2,2,1,2,2,1,-4.942653,0,0,0
2,1,1,0,1,1,-1.227289,0,0,1
1,2,1,1,2,1,-5.118527,0,0,0
1,1,1,1,,1,-1.231413,0,0,1
2,1,1,2,1,1,2.230279,0,0,1
2,2,1,2,1,1,-2.163035,0,0,0
2,1,1,1,1,1,0.0525985,0,2,1
2,1,1,1,1,1,3.399567,0,0,1
1,1,1,1,1,1,-9.878848,0,0,1
1,1,1,1,1,1,-1.227107,0,0,1
1,1,1,0,1,1,-2.547278,0,2,1
1,1,1,1,1,1,-1.024815,0,0,1
