地区,年末常住人口(万人),地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政非税收入(亿元),地区生产总值(亿元),规模以上工业企业利润总额(亿元),第二产业增加值(亿元),第三产业增加值(亿元),全体居民人均可支配收入(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),规模以上工业企业R&D经费(万元),规模以上工业企业发明专利申请数(件),国内专利申请授权量(项),国内发明专利申请授权量(项),国内专利申请受理量(项),国内发明专利申请受理量(项),年份
青海省,593,1932.84,297.99,213.27,84.71,3009.8,103.18,1143.2,1528.6,24037,35506,12342,103699,494,4693,333,6736,1417,2020年
宁夏回族自治区,721,1480.36,419.44,263.87,155.57,3956.3,194.61,1629.3,1989.0,25735,35720,13889,453491,1408,7710,703,12172,2574,2020年
新疆维吾尔自治区,2590,5533.16,1477.22,910.19,567.02,13800.7,671.79,4786.7,7032.8,23845,34838,14056,391939,1671,12763,859,18843,3776,2020年
北京市,2190,7408.19,5817.10,4822.98,994.12,35445.1,1710.25,5667.4,29663.4,67756,73849,28928,2851859,11543,131716,53127,226113,129930,2019年
天津市,1385,3555.71,2410.41,1634.35,776.06,14055.5,1247.68,4947.2,8922.9,42404,46119,24804,2134320,4676,57799,5025,96045,24574,2019年
河北省,7447,8309.04,3738.99,2630.73,1108.26,34978.6,2140.10,13393.7,18066.4,25665,35738,15373,4385826,8431,57809,5130,101274,20536,2019年
山西省,3497,4710.76,2347.75,1783.66,564.09,16961.6,1164.69,7466.3,8670.0,23828,33262,12902,1380813,2543,16598,2300,31705,8424,2019年
内蒙古自治区,2415,5100.91,2059.69,1539.69,520.01,17212.5,1463.06,6763.1,8586.1,30555,40782,15283,1183625,2050,11059,911,21069,4889,2019年
辽宁省,4277,5745.09,2652.40,1929.52,722.89,24855.3,1354.04,9475.9,13201.4,31820,39777,16108,3102482,4995,40037,7501,69732,22592,2019年
吉林省,2448,3933.42,1116.95,797.98,318.97,11726.8,743.99,4134.8,6304.7,24563,32299,14936,684086,2386,15579,3006,31052,11269,2019年
黑龙江省,3255,5011.56,1262.76,924.40,338.35,13544.4,417.22,3640.1,6721.1,24254,30945,14982,714862,2060,19989,4144,37313,13125,2019年
上海市,2481,8179.28,7165.10,6216.29,948.81,37987.6,2927.07,10193.6,27686.9,69442,73615,33195,5906504,15239,100587,22735,173586,71398,2019年
江苏省,8469,12573.55,8802.36,7339.59,1462.77,98656.8,6855.03,43507.5,50852.1,41400,51056,22675,22061581,57429,314395,39681,594249,172409,2019年
浙江省,6375,10053.03,7048.58,5898.75,1149.83,62462.0,5003.04,26299.5,34075.8,49899,60182,29876,12742260,30914,285342,33964,435883,112981,2019年
安徽省,6092,7392.22,3182.71,2209.73,972.98,36845.5,2254.30,14970.0,18959.5,26415,37540,15416,5765371,22975,82524,14958,166871,62743,2019年
福建省,4137,5077.93,3052.93,2208.98,843.95,42326.6,4326.54,20065.5,19665.6,35616,45620,19568,5985139,11025,98955,8963,153133,30019,2019年
江西省,4516,6386.80,2487.39,1747.63,739.76,24667.3,2262.80,10820.3,11789.3,26262,36546,15796,3202151,5768,59140,2744,91474,14101,2019年
山东省,10106,10739.76,6526.71,4849.29,1677.42,70540.5,3652.74,28171.8,37251.7,31597,42329,17775,12109485,21948,146481,20652,263211,69350,2019年
河南省,9901,10163.93,4041.89,2841.34,1200.54,53717.8,3547.88,23035.6,26046.5,23903,34201,15164,6087153,8734,86247,6991,144010,30260,2019年
湖北省,5927,7970.21,3388.57,2530.82,857.75,45429.0,3049.57,18723.0,22896.5,28319,37601,16391,5865143,16366,73940,14178,141321,47450,2019年
湖南省,6640,8034.42,3007.15,2061.96,945.19,39894.1,2227.27,15401.7,20845.2,27680,39842,15395,5931485,13356,54685,8479,106113,39104,2019年
广东省,12489,17297.85,12654.53,10063.95,2590.58,107986.9,9140.48,43368.2,60268.1,39014,48118,18818,23148566,121320,527390,59742,807700,203311,2019年
广西壮族自治区,4982,5850.96,1811.89,1146.78,665.11,21237.1,923.78,7046.4,10801.0,23328,34745,13676,1044742,2634,22687,3413,41900,12412,2019年
海南省,995,1858.60,814.14,653.25,160.90,5330.8,170.50,1083.8,3168.1,26679,36017,15113,108154,269,4423,530,9302,2183,2019年
重庆市,3188,4847.68,2134.93,1541.22,593.71,23605.8,1210.32,9392.0,12662.2,28920,37939,15133,3358918,5565,43872,6988,67271,20103,2019年
四川省,8351,10348.17,4070.83,2888.74,1182.08,46363.8,3036.89,17187.9,24368.3,24703,36154,14670,3878572,11250,82066,12053,131529,39539,2019年
贵州省,3848,5948.74,1767.47,1204.02,563.45,16769.3,976.30,5971.5,8517.3,20397,34404,10756,910206,2985,24729,1900,44328,10770,2019年
云南省,4714,6770.09,2073.56,1450.63,622.93,23223.8,950.80,8060.4,12125.7,22082,36238,11902,1297741,2665,22324,2174,35212,8996,2019年
西藏自治区,361,2187.75,221.99,157.52,64.47,1697.8,6.94,635.6,924.0,19501,37410,12951,5574,32,1020,79,2304,456,2019年
陕西省,3944,5718.52,2287.90,1846.11,441.79,25793.2,2360.44,11779.5,12022.6,24666,36098,12326,2408037,5593,44101,9843,92087,34812,2019年
甘肃省,2509,3951.60,850.49,577.92,272.56,8718.3,304.87,2862.4,4796.6,19139,32323,9629,505544,1292,14894,1154,27637,6056,2019年
青海省,590,1863.67,282.25,198.70,83.55,2941.1,-528.82,1153.9,1485.3,22618,33830,11499,93712,438,3046,292,5017,1232,2019年
宁夏回族自治区,717,1438.29,423.58,267.50,156.08,3748.5,218.32,1587.1,1881.4,24412,34328,12858,415733,1087,5555,598,9275,2525,2019年
新疆维吾尔自治区,2559,5315.49,1577.63,1016.09,561.53,13597.1,680.95,4784.4,7030.9,23103,34664,13122,441347,1234,8652,856,14771,3544,2019年
北京市,2192,7471.43,5785.92,4988.83,797.09,33106.0,1530.00,5477.4,27508.1,62361,67990,26490,2740103,10386,123496,46978,211212,117664,2018年
天津市,1383,3103.16,2106.24,1624.89,481.35,13362.9,1200.70,4835.3,8352.3,39506,42976,23065,2528761,4939,54680,5626,99038,26661,2018年
河北省,7426,7726.21,3513.86,2555.82,958.04,32494.6,2211.70,12904.1,16252.0,23446,32977,14031,3819916,6067,51894,5126,83785,18954,2018年
山西省,3502,4283.91,2292.70,1645.67,647.03,15958.1,1355.90,7074.5,8142.9,21990,31035,11750,1312531,2416,15060,2284,27106,9395,2018年
内蒙古自治区,2422,4831.46,1857.65,1399.86,457.79,16140.8,1409.40,6335.4,8054.7,28376,38305,13803,1033594,1440,9625,864,16426,3757,2018年
辽宁省,4291,5337.72,2616.08,1976.13,639.95,23510.5,1460.30,9049.0,12441.0,29701,37342,14656,3006014,5425,35149,7176,65686,25476,2018年
吉林省,2484,3789.59,1240.89,891.75,349.14,11253.8,817.00,4051.5,6041.6,22798,30172,13748,575015,1314,13885,2868,27034,10530,2018年
黑龙江省,3327,4676.75,1282.60,980.80,301.79,12846.5,487.00,3536.0,6309.3,22726,29191,13804,605680,1232,19435,4309,34582,12017,2018年
上海市,2475,8351.54,7108.15,6285.04,823.11,36011.8,3338.40,10360.8,25546.3,64183,68034,30375,5548768,12541,92460,21331,150233,62755,2018年
江苏省,8446,11657.35,8630.16,7263.65,1366.51,93207.6,8491.90,42129.4,46936.5,38096,47200,20845,20245195,55944,306996,42019,600306,198801,2018年
浙江省,6273,8629.53,6598.21,5586.63,1011.58,58002.8,4452.10,25308.1,30718.8,45840,55574,27302,11473921,27998,284621,32550,455590,143081,2018年
安徽省,6076,6572.15,3048.67,2180.74,867.93,34010.9,2448.20,14094.4,17278.5,23984,34393,13996,4973027,26175,79747,14846,207428,108782,2018年
福建省,4104,4832.69,3007.41,2237.42,769.99,38687.8,3537.10,18847.8,17461.0,32644,42121,17821,5249417,9850,102622,9858,166610,37252,2018年
江西省,4513,5667.52,2373.01,1663.15,709.86,22716.5,2157.80,10081.2,10758.0,24080,33819,14460,2677714,5216,52819,2524,86001,14519,2018年
山东省,10077,10100.96,6485.40,4897.92,1587.47,66648.9,4872.20,27523.7,34174.7,29205,39549,16297,14184975,31329,132382,20338,231585,72764,2018年
河南省,9864,9217.73,3766.02,2656.65,1109.36,49935.9,3053.40,22038.6,23586.2,21964,31874,13831,5289250,8911,82318,8339,154381,46868,2018年
湖北省,5917,7258.27,3307.08,2463.52,843.56,42022.0,2755.40,17573.9,20899.9,25815,34455,14978,5255194,12858,64106,11393,124535,50664,2018年
湖南省,6635,7479.61,2860.84,1959.67,901.18,36329.7,1726.90,13904.1,19341.4,25241,36698,14093,5167217,11517,48957,8261,94503,35414,2018年
广东省,12348,15729.26,12105.26,9737.51,2367.74,99945.2,8309.70,41398.5,54710.4,35810,44341,17168,21072031,103499,478082,53259,793819,216469,2018年
广西壮族自治区,4947,5310.74,1681.45,1122.09,559.36,19627.8,1100.10,6692.9,9913.9,21485,32436,12435,891031,2559,20551,4330,44224,20302,2018年
海南省,982,1691.30,752.67,628.68,123.98,4910.7,145.30,1053.1,2871.6,24579,33349,13989,113708,249,3292,489,6451,2127,2018年
重庆市,3163,4540.95,2265.54,1603.03,662.51,21588.8,1218.70,8842.2,11367.9,26386,34889,13781,2992091,6198,45688,6570,72121,22686,2018年
四川省,8321,9707.50,3911.01,2819.77,1091.24,42902.1,2717.90,16056.9,22417.7,22461,33216,13331,3423923,10705,87372,11697,152987,53805,2018年
贵州省,3822,5029.68,1726.85,1266.02,460.84,15353.2,879.20,5506.2,7691.0,18430,31592,9716,762280,2611,19456,2081,44508,14992,2018年
云南省,4703,6075.03,1994.35,1423.25,571.10,20880.6,925.20,7267.5,11114.5,20084,33488,10768,1070172,2038,20340,2297,36515,9606,2018年
西藏自治区,354,1970.68,230.35,155.93,74.42,1548.4,17.40,582.7,837.3,17286,33797,11450,8625,15,755,73,1469,453,2018年
陕西省,3931,5302.44,2243.14,1774.29,468.85,23941.9,2436.30,11215.3,10896.4,22528,33319,11213,2165554,4436,41479,8884,76512,30888,2018年
甘肃省,2515,3772.23,871.05,610.47,260.58,8104.1,270.40,2761.6,4416.4,17488,29957,8804,476151,1207,13958,1280,27882,6035,2018年
青海省,587,1647.43,272.89,205.49,67.40,2748.0,62.70,1093.7,1386.2,20757,31515,10393,67716,321,2668,298,4439,1287,2018年
宁夏回族自治区,710,1419.06,436.52,298.30,138.22,3510.2,174.20,1488.1,1742.7,22400,31895,11708,369910,929,5658,744,9860,2999,2018年
新疆维吾尔自治区,2520,5012.45,1531.42,1051.80,479.62,12809.4,788.80,4657.2,6460.1,21500,32764,11975,448779,1244,9658,923,14647,3665,2018年
北京市,2194,6824.53,5430.79,4676.68,754.11,29883.0,2023.67,5049.4,24711.7,57230,62406,24240,2690851,10119,106948,46091,185928,99167,2017年
天津市,1410,3282.54,2310.36,1611.96,698.40,12450.6,1061.37,4564.1,7717.5,37022,40278,21754,2411418,5463,41675,5844,86996,25652,2017年
河北省,7409,6639.18,3233.83,2199.35,1034.48,30640.8,2712.87,12778.0,14732.8,21484,30548,12881,3509684,4798,35348,4927,61288,13982,2017年
山西省,3510,3756.42,1867.00,1397.43,469.57,14484.3,1031.59,6635.3,7129.8,20420,29132,10788,1122323,1632,11311,2382,20697,7379,2017年
内蒙古自治区,2433,4529.93,1703.21,1286.91,416.30,14898.1,1451.74,5874.3,7374.0,26212,35670,12584,1082640,1733,6271,848,11701,2845,2017年
辽宁省,4312,4879.42,2392.77,1812.42,580.35,21693.0,1063.25,8328.9,11461.8,27835,34993,13747,2749477,4994,26495,7708,49871,20500,2017年
吉林省,2526,3725.72,1210.91,854.03,356.88,10922.0,1028.03,3995.5,5831.2,21368,28319,12950,749958,1231,11090,3057,20450,7780,2017年
黑龙江省,3399,4641.08,1243.31,901.91,341.41,12313.0,416.70,3519.5,5828.2,21206,27446,12665,825854,1648,18221,4947,30958,10607,2017年
上海市,2466,7547.62,6642.26,5865.51,776.75,32925.0,3243.80,9525.9,23288.3,58988,62596,27825,5399953,12329,72806,20681,131740,54630,2017年
江苏省,8423,10621.03,8171.53,6484.33,1687.21,85869.8,10052.54,39124.1,42700.5,35024,43622,19158,18338832,45719,227187,41518,514402,187005,2017年
浙江省,6170,7530.32,5804.38,4940.74,863.64,52403.1,4605.41,23246.7,27222.5,42046,51261,24956,10301447,21817,213805,28742,377115,98975,2017年
安徽省,6057,6203.81,2812.45,1970.68,841.77,29676.2,2352.44,12681.2,14412.7,21863,31640,12758,4361175,24394,58213,12440,175872,93527,2017年
福建省,4065,4684.15,2809.03,2052.64,756.39,33842.4,3221.82,16290.0,15337.3,30048,39001,16335,4487934,8810,68304,8718,128079,26456,2017年
江西省,4511,5111.47,2247.06,1515.01,732.05,20210.8,2355.56,9444.6,8930.9,22031,31198,13242,2216865,3949,33029,2238,70591,11507,2017年
山东省,10033,9258.40,6098.63,4419.40,1679.23,63012.1,8128.17,26925.6,31253.8,26930,36789,15118,15636785,28448,100522,19090,204859,67772,2017年
河南省,9829,8215.52,3407.22,2329.31,1077.91,44824.9,5352.43,20940.3,19745.3,20170,29558,12719,4722542,7704,55407,7914,119240,35625,2017年
湖北省,5904,6801.26,3248.32,2247.82,1000.49,37235.0,2608.03,15713.9,17992.2,23757,31889,13812,4689377,10112,46369,10880,110234,51569,2017年
湖南省,6633,6869.39,2757.82,1759.13,998.69,33828.1,2093.98,13459.8,17369.9,23103,33948,12936,4617716,9144,37916,7909,77934,31365,2017年
广东省,12141,15037.48,11320.35,8871.89,2448.46,91648.7,8864.36,38536.6,49500.7,33003,40975,15780,18650313,86724,332652,45740,627834,182639,2017年
广西壮族自治区,4907,4908.55,1615.13,1057.69,557.44,17790.7,1610.95,6138.3,8774.1,19905,30502,11325,935996,2502,15270,4553,56988,37976,2017年
海南省,972,1443.97,674.11,543.56,130.54,4497.5,110.03,996.4,2538.4,22553,30817,12902,74815,267,2133,373,4564,1627,2017年
重庆市,3144,4336.28,2252.38,1476.33,776.05,20066.3,1501.87,8455.0,10335.2,24153,32193,12638,2799986,5149,34780,6138,64648,19297,2017年
四川省,8289,8694.76,3577.99,2430.32,1147.66,37905.1,2824.26,14569.2,19073.5,20580,30727,12227,3010846,10335,64006,11367,167484,64642,2017年
贵州省,3803,4612.52,1613.84,1179.73,434.11,13605.4,903.43,4970.9,6602.3,16704,29080,8869,648576,2542,12559,1875,34610,13885,2017年
云南省,4693,5712.97,1886.17,1233.85,652.32,18486.0,782.65,6317.8,9829.8,18348,30996,9862,885588,1891,14230,2259,28695,7801,2017年
西藏自治区,349,1681.94,185.83,122.70,63.13,1349.0,26.60,469.6,761.2,15457,30671,10330,3186,12,420,42,1097,273,2017年
